Date;Open;High;Low;Close;Volume;Adj Close
2013-07-26;8.94;9.00;8.77;8.88;13484200;8.88
2013-07-25;8.95;9.08;8.90;8.98;11807800;8.98
2013-07-24;9.01;9.09;8.93;9.00;13026500;9.00
2013-07-23;9.14;9.18;8.95;9.02;13123600;9.02
2013-07-22;8.92;9.12;8.90;9.08;15415300;9.08
2013-07-19;9.24;9.28;8.90;8.97;23398400;8.97
2013-07-18;9.23;9.31;9.07;9.12;12500000;9.12
2013-07-17;9.07;9.32;9.07;9.24;15088100;9.24
2013-07-16;9.36;9.37;9.10;9.13;18645600;9.13
2013-07-15;9.20;9.55;9.18;9.37;17644700;9.37
2013-07-12;9.29;9.33;9.20;9.24;12874700;9.24
2013-07-11;9.28;9.35;9.16;9.33;17583600;9.33
2013-07-10;9.74;9.74;9.10;9.28;31079300;9.28
2013-07-09;9.61;9.93;9.55;9.64;29795600;9.64
2013-07-08;9.61;9.67;9.48;9.55;16762300;9.55
2013-07-05;9.65;9.88;9.50;9.55;19190100;9.55
2013-07-03;9.51;9.74;9.42;9.65;22608200;9.65
2013-07-02;10.20;10.27;9.63;9.70;44561500;9.70
2013-07-01;10.03;10.62;9.96;10.29;41076400;10.29
2013-06-28;10.71;10.98;10.25;10.46;136025600;10.46
2013-06-27;15.04;15.09;14.28;14.48;37407900;14.48
2013-06-26;14.70;15.00;14.70;14.91;23230800;14.91
2013-06-25;14.39;14.62;14.22;14.56;17641400;14.56
2013-06-24;13.50;14.29;13.50;14.10;19076300;14.10
2013-06-21;13.97;14.05;13.68;13.78;14323900;13.78
2013-06-20;13.92;14.18;13.82;13.98;16806700;13.98
2013-06-19;14.44;14.61;13.95;14.18;34716900;14.18
2013-06-18;14.32;15.00;14.26;14.84;31795000;14.84
2013-06-17;14.60;14.65;14.18;14.30;12316700;14.30
2013-06-14;14.64;14.93;14.35;14.44;24987700;14.44
2013-06-13;13.95;14.49;13.83;14.42;32443000;14.42
2013-06-12;13.67;13.79;13.50;13.56;9469200;13.56
2013-06-11;13.82;13.95;13.63;13.66;11907100;13.66
2013-06-10;13.87;14.09;13.70;13.95;16515300;13.95
2013-06-07;13.82;14.13;13.74;13.86;18496900;13.86
2013-06-06;13.56;13.90;13.53;13.71;15276600;13.71
2013-06-05;13.49;13.92;13.37;13.63;24596400;13.63
2013-06-04;13.57;13.90;13.48;13.54;15562300;13.54
2013-06-03;14.03;14.05;13.30;13.61;25458800;13.61
2013-05-31;14.50;14.52;13.83;13.96;30919100;13.96
2013-05-30;14.26;14.56;14.06;14.42;20257500;14.42
2013-05-29;14.30;14.54;14.16;14.17;17250300;14.17
2013-05-28;14.53;14.61;14.31;14.36;14657900;14.36
2013-05-24;14.46;14.65;14.36;14.48;13456300;14.48
2013-05-23;14.12;14.67;14.08;14.43;15343200;14.43
2013-05-22;14.60;14.84;14.34;14.46;20391200;14.46
2013-05-21;15.01;15.04;14.65;14.77;14376000;14.77
2013-05-20;14.70;15.27;14.53;14.98;18726400;14.98
2013-05-17;14.71;14.86;14.52;14.62;15557100;14.62
2013-05-16;15.07;15.13;14.60;14.69;20357600;14.69
2013-05-15;14.90;15.42;14.72;15.00;26858700;15.00
2013-05-14;16.01;16.14;14.92;15.25;52632100;15.25
2013-05-13;15.73;16.16;15.70;15.88;29220200;15.88
2013-05-10;15.49;15.68;15.31;15.54;17895600;15.54
2013-05-09;15.15;15.68;14.87;15.39;40657600;15.39
2013-05-08;15.10;15.15;14.80;14.90;17680100;14.90
2013-05-07;15.39;15.51;14.68;14.82;35314700;14.82
2013-05-06;15.66;15.98;15.45;15.57;23381500;15.57
2013-05-03;16.08;16.11;15.59;15.63;24469800;15.63
2013-05-02;15.65;16.06;15.30;15.70;26204800;15.70
2013-05-01;16.37;16.49;15.46;15.80;33440200;15.80
2013-04-30;15.79;16.59;15.75;16.29;42800400;16.29
2013-04-29;15.41;15.68;15.27;15.61;26672000;15.61
2013-04-26;14.84;15.09;14.66;15.02;17746700;15.02
2013-04-25;15.08;15.39;14.63;14.81;30676900;14.81
2013-04-24;14.48;14.96;14.38;14.90;24928000;14.90
2013-04-23;14.08;14.54;13.96;14.33;20400500;14.33
2013-04-22;13.85;14.13;13.61;13.99;19243400;13.99
2013-04-19;13.50;13.91;13.10;13.84;24013200;13.84
2013-04-18;13.72;14.04;13.38;13.50;26546600;13.50
2013-04-17;13.88;14.20;13.72;13.91;29646100;13.91
2013-04-16;13.97;14.15;13.85;13.92;19340500;13.92
2013-04-15;13.45;13.85;13.42;13.71;21250400;13.71
2013-04-12;13.67;14.04;13.38;13.64;34977000;13.64
2013-04-11;14.16;14.20;13.28;13.55;79542900;13.55
2013-04-10;14.86;14.99;14.47;14.69;36632400;14.69
2013-04-09;14.74;14.92;14.61;14.85;19527700;14.85
2013-04-08;14.89;15.06;14.61;14.67;27616900;14.67
2013-04-05;14.76;14.94;14.56;14.70;20961200;14.70
2013-04-04;15.09;15.31;14.92;14.99;27401500;14.99
2013-04-03;15.00;15.25;14.61;15.03;39206200;15.03
2013-04-02;15.20;15.47;15.04;15.14;31329600;15.14
2013-04-01;14.66;15.36;14.29;15.11;57405400;15.11
2013-03-28;15.18;15.55;14.14;14.45;107118000;14.45
2013-03-27;14.57;14.92;14.30;14.57;50966700;14.57
2013-03-26;14.57;14.73;14.25;14.46;36076800;14.46
2013-03-25;13.97;14.62;13.64;14.23;78015800;14.23
2013-03-22;16.43;16.82;14.64;14.91;123949500;14.91
2013-03-21;15.97;16.48;15.95;16.16;46990300;16.16
2013-03-20;15.95;16.44;15.67;16.00;84106500;16.00
2013-03-19;15.12;15.30;14.86;15.03;27680400;15.03
2013-03-18;14.79;15.59;14.65;15.02;51108500;15.02
2013-03-15;15.14;15.27;14.80;14.98;39219000;14.98
2013-03-14;15.82;16.01;15.04;15.06;96029000;15.06
2013-03-13;14.17;15.70;14.11;15.65;82044100;15.65
2013-03-12;15.22;15.39;14.04;14.47;84606100;14.47
2013-03-11;13.13;14.92;13.00;14.90;92815900;14.90
2013-03-08;13.53;13.53;13.02;13.06;21945800;13.06
2013-03-07;13.46;13.55;12.98;13.22;27168300;13.22
2013-03-06;12.66;13.56;12.56;13.35;49755000;13.35
2013-03-05;12.86;12.92;12.55;12.58;27086200;12.58
2013-03-04;13.20;13.28;12.76;12.81;26847900;12.81
2013-03-01;13.44;13.78;13.03;13.26;39291800;13.26
2013-02-28;13.15;13.79;12.94;13.36;43004000;13.36
2013-02-27;12.93;13.68;12.75;13.25;38537000;13.25
2013-02-26;13.34;13.45;12.56;13.06;51689800;13.06
2013-02-25;13.66;13.76;13.05;13.25;35725200;13.25
2013-02-22;13.81;13.98;13.04;13.18;42572100;13.18
2013-02-21;13.94;14.05;13.35;13.88;49801500;13.88
2013-02-20;13.99;14.38;13.65;13.71;55153100;13.71
2013-02-19;14.25;14.82;14.17;14.36;46121000;14.36
2013-02-15;15.30;15.49;13.96;14.16;92805500;14.16
2013-02-14;13.20;15.16;12.94;15.07;112596700;15.07
2013-02-13;15.10;15.39;13.81;13.99;77515100;13.99
2013-02-12;15.47;16.07;15.15;15.20;44203400;15.20
2013-02-11;15.72;16.18;15.29;15.73;60717500;15.73
2013-02-08;17.15;17.22;16.44;16.49;61324600;16.49
2013-02-07;16.68;16.98;16.20;16.96;75845700;16.96
2013-02-06;15.52;16.54;15.28;16.05;100512100;16.05
2013-02-05;15.79;16.89;15.53;16.02;127576800;16.02
2013-02-04;13.71;15.01;13.52;14.98;82670900;14.98
2013-02-01;13.45;13.55;12.15;13.03;59354800;13.03
2013-01-31;12.45;13.35;12.15;12.98;111855800;12.98
2013-01-30;16.08;16.62;13.72;13.78;224097000;13.78
2013-01-29;15.92;16.00;14.68;15.66;106906200;15.66
2013-01-28;17.82;17.89;16.03;16.18;88895700;16.18
2013-01-25;18.09;18.24;17.40;17.54;57585500;17.54
2013-01-24;16.58;18.32;16.33;17.74;107804000;17.74
2013-01-23;17.87;18.08;17.16;17.35;75614300;17.35
2013-01-22;17.07;17.90;16.90;17.90;110834000;17.90
2013-01-18;15.86;15.94;15.34;15.84;71198300;15.84
2013-01-17;14.89;14.92;14.46;14.91;38902900;14.91
2013-01-16;14.75;15.36;14.65;14.74;67643400;14.74
2013-01-15;14.90;15.06;14.24;14.48;59086400;14.48
2013-01-14;13.95;15.09;13.90;14.95;143607300;14.95
2013-01-11;11.73;13.60;11.68;13.56;111026800;13.56
2013-01-10;11.85;11.98;11.61;11.92;24542500;11.92
2013-01-09;11.94;12.02;11.46;11.48;23609900;11.48
2013-01-08;11.99;12.24;11.74;11.91;33655500;11.91
2013-01-07;12.08;12.14;11.72;11.95;21292900;11.95
2013-01-04;11.64;12.03;11.44;11.95;30667000;11.95
2013-01-03;11.80;11.84;11.40;11.47;25866100;11.47
2013-01-02;12.32;12.37;11.64;11.72;29400600;11.72
2012-12-31;11.83;11.97;11.67;11.87;25606900;11.87
2012-12-28;11.70;12.10;11.57;11.79;28917100;11.79
2012-12-27;12.06;12.16;11.50;11.76;51026900;11.76
2012-12-26;10.79;12.03;10.66;11.83;70807700;11.83
2012-12-24;10.72;10.98;10.59;10.61;28912100;10.61
2012-12-21;11.84;12.39;10.91;10.91;149196000;10.91
2012-12-20;13.64;14.13;13.53;14.12;49596800;14.12
2012-12-19;13.55;13.89;13.52;13.63;26795900;13.63
2012-12-18;13.75;13.88;13.28;13.72;39727800;13.72
2012-12-17;14.15;14.20;13.66;13.93;44063800;13.93
2012-12-14;13.86;14.21;13.53;14.04;53970900;14.04
2012-12-13;13.45;14.16;13.42;13.86;82171300;13.86
2012-12-12;12.61;13.34;12.36;13.31;63731100;13.31
2012-12-11;11.96;12.67;11.88;12.60;43231600;12.60
2012-12-10;11.98;12.12;11.66;11.88;24329200;11.88
2012-12-07;11.85;12.13;11.75;12.01;24527000;12.01
2012-12-06;12.01;12.18;11.62;11.89;33156700;11.89
2012-12-05;11.62;12.12;11.47;11.94;32036200;11.94
2012-12-04;11.59;11.73;11.44;11.56;21189500;11.56
2012-12-03;11.39;11.82;11.25;11.60;38289200;11.60
2012-11-30;11.65;11.84;11.38;11.60;35486800;11.60
2012-11-29;12.28;12.30;11.37;11.54;85005500;11.54
2012-11-28;10.31;11.26;10.20;11.10;53958900;11.10
2012-11-27;11.98;12.00;10.71;10.72;84235200;10.72
2012-11-26;11.96;12.14;11.44;11.98;87527400;11.98
2012-11-23;11.60;11.86;11.26;11.66;74491400;11.66
2012-11-21;9.66;10.35;9.62;10.26;39520700;10.26
2012-11-20;10.02;10.04;9.57;9.71;49958400;9.71
2012-11-19;9.15;9.80;9.03;9.59;42524400;9.59
2012-11-16;8.85;9.30;8.53;9.20;35216100;9.20
2012-11-15;8.47;8.84;8.47;8.79;19957600;8.79
2012-11-14;8.52;8.67;8.38;8.49;15260800;8.49
2012-11-13;8.80;8.85;8.31;8.40;22877800;8.40
2012-11-12;9.05;9.07;8.67;8.81;20674900;8.81
2012-11-09;8.20;8.70;8.20;8.54;20708700;8.54
2012-11-08;8.46;8.52;8.14;8.20;16511200;8.20
2012-11-07;9.12;9.15;8.23;8.24;35905800;8.24
2012-11-06;9.01;9.08;8.87;9.06;18275700;9.06
2012-11-05;8.80;9.17;8.74;8.90;28343600;8.90
2012-11-02;8.84;8.91;8.69;8.71;24117600;8.71
2012-11-01;8.06;8.85;8.01;8.70;39524200;8.70
2012-10-31;7.59;8.00;7.53;7.93;13113900;7.93
2012-10-26;7.70;7.79;7.51;7.57;11489100;7.57
2012-10-25;7.64;7.77;7.53;7.71;10854300;7.71
2012-10-24;7.68;7.69;7.50;7.52;9163800;7.52
2012-10-23;7.59;7.90;7.46;7.62;15294900;7.62
2012-10-22;7.78;7.84;7.56;7.69;11932900;7.69
2012-10-19;7.88;7.90;7.64;7.76;19095100;7.76
2012-10-18;7.99;8.07;7.83;7.84;16355600;7.84
2012-10-17;7.80;8.08;7.78;7.99;14365900;7.99
2012-10-16;7.82;7.88;7.72;7.83;11589300;7.83
2012-10-15;7.83;7.90;7.71;7.80;9162500;7.80
2012-10-12;7.88;8.03;7.72;7.80;13505600;7.80
2012-10-11;7.82;8.00;7.77;7.91;11652000;7.91
2012-10-10;7.76;7.86;7.58;7.76;19016500;7.76
2012-10-09;8.06;8.11;7.77;7.80;23247400;7.80
2012-10-08;8.22;8.45;8.10;8.24;12219700;8.24
2012-10-05;8.35;8.44;8.18;8.22;15775700;8.22
2012-10-04;8.13;8.27;8.04;8.23;19958600;8.23
2012-10-03;8.35;8.35;8.00;8.06;27573900;8.06
2012-10-02;7.90;8.44;7.83;8.27;55091100;8.27
2012-10-01;7.62;7.88;7.27;7.86;52534300;7.86
2012-09-28;8.20;8.20;7.46;7.50;139438500;7.50
2012-09-27;7.20;7.23;6.75;7.14;71975800;7.14
2012-09-26;6.84;7.09;6.63;7.00;43862900;7.00
2012-09-25;6.37;6.71;6.25;6.60;45954900;6.60
2012-09-24;6.37;6.45;6.22;6.31;20380000;6.31
2012-09-21;6.80;6.84;6.43;6.46;47179100;6.46
2012-09-20;7.11;7.22;6.90;6.91;14097400;6.91
2012-09-19;7.48;7.48;7.18;7.21;15151800;7.21
2012-09-18;7.17;7.81;7.15;7.42;35720600;7.42
2012-09-17;7.39;7.46;7.18;7.25;14519100;7.25
2012-09-14;7.44;7.86;7.43;7.56;21556300;7.56
2012-09-13;7.38;7.59;7.30;7.43;14791300;7.43
2012-09-12;7.54;7.60;7.24;7.42;14702500;7.42
2012-09-11;7.18;7.55;7.12;7.46;17342600;7.46
2012-09-10;7.14;7.25;7.00;7.15;14868100;7.15
2012-09-07;6.73;7.22;6.67;7.19;23231000;7.19
2012-09-06;6.59;6.80;6.33;6.72;22312100;6.72
2012-09-05;6.61;6.75;6.38;6.52;7858000;6.52
2012-09-04;6.66;6.69;6.57;6.65;9693500;6.65
